GameNumber,GameDescription,GameName,Author,MaxPoints,
1,FMWC Open 2021 Asia-Pacific Round 1,Dominate the Dominoes,Andrew Grigolyunovich,1000,
2,FMWC Open 2021 America Round 1,Card Game,Andrew Grigolyunovich,1000,
3,FMWC Open 2021 Asia-Pacific Round 2,Lumberjack,Andrew Grigolyunovich,1000,
4,FMWC Open 2021 America Round 2,Excelopolis,Andrew Grigolyunovich,1000,
5,FMWC Open 2021 Asia-Pacific Round 3,It's A Snake,Andrew Grigolyunovich,1000,
6,FMWC Open 2021 America Round 3,The Gambler,Andrew Grigolyunovich,1000,
7,FMWC Open 2021 Asia-Pacific Round 4,The Odds for Mr. Odd,Andrew Grigolyunovich,1000,
8,FMWC Open 2021 America Round 4,Biathlon,Andrew Grigolyunovich,1000,
9,FMWC Open 2021 Semi-Final 1,Share the Ride,Andrew Grigolyunovich,1000,
10,FMWC Open 2021 Semi-Final 2,Tripeaks,Andrew Grigolyunovich,1000,
11,FMWC Open 2021 Final,Knights and Warriors,Andrew Grigolyunovich,1000,
12,2022 MEWC Qualification - Morning,The Number 1 Fan 2022 - Morning,Andrew Grigolyunovich,"5,000",
13,2022 MEWC Qualification - Afternoon,The Number 1 Fan 2022 - Afternoon,Andrew Grigolyunovich,"5,000",
14,2022 MEWC Round 128 - Morning,Maze,Joseph Palisoc,"1,250",
15,2022 MEWC Round 128 - Afternoon,The Social Network,Harry Gross,"1,250",
16,2022 MEWC Round 64 - Morning,Othello,Diarmuid Early,"1,250",
17,2022 MEWC Round 64 - Afternoon,Passing Notes,Willem Gerritsen,"1,250",
18,2022 MEWC Round 32 - Morning,Euchre,Lianna Gerrish,"1,250",
19,2022 MEWC Round 32 - Afternoon,A Licence on a Plate,Andrew Grigolyunovich,"1,250",
20,2022 MEWC Round 16 - Morning,A Dicey Battle,Michael Jarman,"1,250",
21,2022 MEWC Round 16 - Afternoon,Collect Them All,Renier Wessels,"1,250",
22,2022 MEWC Quarterfinals,Elections are Coming,Andrew Grigolyunovich,"1,250",
23,2022 MEWC Semifinals,Five Hundred,Tim Heng,"1,250",
24,2022 MEWC Finals,Super Grand Master,Andrew Grigolyunovich,"1,250",
25,2023 RTLV - Battle 1,Whack-a-Mole,Peter Scharl,"1,250",
26,2023 RTLV - Battle 2,Bear Island,Harry Seiders,"1,250",
27,2023 RTLV - Battle 3,Laundry Time,Peter Scharl,"1,250",
28,2023 RTLV - Battle 4,What's My Flight Number,Patrick Chatain,"1,250",
29,2023 RTLV - Battle 5,Battle Royal,Harry Seiders,"1,250",
30,2023 RTLV - Battle 6,Fantasy Excel,Peter Scharl,"1,250",
31,2023 RTLV - Battle 7,Table Soccer,Andrew Grigolyunovich,"1,250",
32,2023 RTLV - Battle 8,At the Races,James Curtis,"1,250",
33,2023 RTLV - Battle 9,Grocery Store Cleanup,Harry Seiders,"1,250",
34,2023 Ocho Elimination Battle,FMWC Grand Prix,Andrew Grigolyunovich,"2,000",
35,2023 MEWC Qualification - Morning,The Number 1 Fan 2023 - Morning,Andrew Grigolyunovich,"10,000",
36,2023 MEWC Qualification - Afternoon,The Number 1 Fan 2023 - Afternoon,Andrew Grigolyunovich,"10,000",
37,2023 MEWC Round 128 - Morning,Pass the Arrows,Peter Scharl,"1,250",
38,2023 MEWC Round 128 - Afternoon,Lana Banana,Harry Gross,"1,250",
39,2023 MEWC Round 64 - Morning,Cricket Darts,Harry Seiders,"1,250",
40,2023 MEWC Round 64 - Afternoon,Backgammon,Dan Mayoh,"1,250",
41,2023 MEWC Round 32 - Morning,Vlookie the Gold Miner,Andrew Grigolyunovich,"1,250",
42,2023 MEWC Round 32 - Afternoon,Flower Power,Harry Gross,"1,250",
43,2023 MEWC Round 16 - Morning,Cribbage,Peter Scharl,"1,250",
44,2023 MEWC Round 16 - Afternoon,Pinball,Andrew Grigolyunovich,"1,250",
45,2023 MEWC Semifinals - Part 1,Excel Superheroes,Andrew Grigolyunovich,"2,000",
46,2023 MEWC Semifinals - Part 2,The Numbers Game,Andrew Grigolyunovich,"2,000",
47,2023 MEWC Finals,Eve Online,Niels Terfehr,"2,000",
48,2024 RTLV - Battle 1,Doggie Daycare,David Brown,"1,250",
49,2024 RTLV - Battle 2,Sommelier,Peter Scharl,"1,250",
50,2024 RTLV - Battle 3,This Spreadsheet is a Nightmare,Harry Seiders,"1,250",
51,2024 RTLV - Battle 4,Ship the World,Benjamin Weber,"1,250",
52,2024 RTLV - Battle 5,Deep Sea Diving,Nick Boberg,"1,250",
53,2024 RTLV - Battle 6,The Simple Case,Michael Jarman,"1,250",
54,2024 RTLV - Battle 7,I am Left Handed…Right?,Klinsmann Langhanz,"1,250",
55,2024 RTLV - Battle 8,Treasure Hunt,Peter Scharl,"1,250",
56,2024 RTLV - Battle 9,Census,Harry Watson,"1,250",
57,2024 RTLV - Battle 10,Almost There,Emils Saulitis,"1,250",
58,2024 MEWC Qualification - Morning,The Number 1 Fan 2024 - Morning,Andrew Grigolyunovich,"10,000",
