GameNumber,PlayerName,Country,Score,SecondaryScore
1,Dmitrijs Lukaševičs,Sweden,210,1
1,Dan Mayoh,United States of America,150,1
2,Joseph Lau,Australia,785,1
2,Diarmuid Early,United States of America,825,1
2,John Lim,Australia,605,1
2,Christian Hueber,Austria,470,1
2,Samir Asadov,Ireland,520,1
2,Joseph Michael Palisoc,United States of America,655,1
2,Dan Mayoh,Australia,620,1
2,Willem Gerritsen,Netherlands,655,1
2,Jason Webber,South Africa,475,1
2,Sameer Jagetia,United States of America,615,1
2,Smith Jain,India,410,1
2,Jānis Reinis Beikmanis,Latvia,380,1
2,Stevenson Yu,Philippines,345,1
2,Marcel Diender,Netherlands,490,1
2,Aleksandrs Goba,Latvia,360,1
2,Jason Sindler,United States of America,575,1
2,James Humpish,United Kingdom,395,1
2,Artsiom Petrykeyeu,Belarus,450,1
2,Matthias Prosser,Australia,140,1
2,Armando Godina Carrasco,United Kingdom,380,1
2,Kathleen Whyte,New Zealand,205,1
2,#457316,United States of America,215,1
2,Tiago Carvalho da Silva,Brazil,290,1
2,Bohdan Yakymchuk,Ukraine,210,1
2,Edward Mallett,United Kingdom,185,1
2,Danielle Stein Fairhurst,Australia,60,1
2,Abhishek Jasuja,India,210,1
2,Himanshu Vikram Singh,India,255,1
2,Ahmad Din,Pakistan,250,1
2,Bob Muchiri,Kenya,290,1
2,#703984,Portugal,185,1
2,Gaspard Bidot,Australia,360,1
2,#351571,United States of America,155,1
2,Martins Prusis,Latvia,325,1
2,Nick Sanford,United States of America,155,1
2,Amr Mohamed Ismail Ahmed Badawy,Egypt,165,1
2,Mayank Jain,India,235,1
2,#341721,Germany,75,1
2,Dmitrijs Lukasevics,Sweden,385,1
2,Mohamed Amine Chafik,Morocco,180,1
2,Xiaoxi Huang,Canada,270,1
2,#975031,India,495,1
2,#802999,Indonesia,120,1
2,#498441,Malta,95,1
2,#609129,Australia,260,1
2,#193953,United States of America,125,1
2,#578873,United States of America,105,1
2,#862898,Japan,360,1
2,#634291,Australia,120,1
2,Durva Raval,India,325,1
2,#285382,Australia,260,1
2,#383077,Canada,250,1
2,#287753,Australia,235,1
2,#951668,Korea (South),235,1
2,Lionel Adabayeri,Ghana,220,1
2,#330723,Portugal,190,1
2,#602226,India,190,1
2,#498369,United Kingdom,155,1
2,#326788,Nigeria,140,1
2,#204010,United States of America,110,1
2,#797896,Latvia,90,1
2,#153612,India,85,1
2,#444240,Mongolia,75,1
2,#507430,United Arab Emirates,55,1
2,#946410,India,50,1
2,#884141,Latvia,50,1
2,#693283,United States of America,15,1
3,Joseph Lau,Australia,1285,1
3,Diarmuid Early,United States of America,1260,1
3,Andrew Ngai,United Kingdom,1160,1
3,John Lim,Australia,890,1
3,Christian Hueber,Austria,1105,1
3,Anup Agarwal,India,1000,1
3,Samir Asadov,Ireland,1025,1
3,Joseph Michael Palisoc,United States of America,885,1
3,Dan Mayoh,Australia,875,1
3,Willem Gerritsen,Netherlands,845,1
3,Jason Webber,South Africa,1015,1
3,Sameer Jagetia,United States of America,815,1
