GameNumber,GameDescription,GameName,Author,MaxPoints
1,FMWC BR 2024 - Batalha 1,Choco-Late!,Klinsmann Langhanz,1250
2,FMWC BR 2024 - Batalha 2,Indexando as Correspondências,Klinsmann Langhanz,1250
3,FMWC BR 2024 - Batalha 3,Alguém Anotou a Placa?,Klinsmann Langhanz,1250
4,FMWC BR 2024 - Batalha 4,Dia de Carona,Klinsmann Langhanz,1250
5,FMWC BR 2024 - Classificatória Aberta,Estudando a Temporada 2024,Klinsmann Langhanz,10000
6,FMWC BR 2024 - Quartas de Final,Escolhas Estratégicas,Klinsmann Langhanz,1250
7,FMWC BR 2024 - Semifinal 1,Equipes de Pintura,Klinsmann Langhanz e Peter Scharl,1250
8,FMWC BR 2024 - Semifinal 2,Sopa de Letrinhas,Klinsmann Langhanz e Diarmuid Early,1250
9,FMWC BR 2024 - Final,Fluxo das Águas,Klinsmann Langhanz e Andrew Grigolyunovich,1250
10,FMWC BR 2025 - Batalha 1,Troca o Troco,Klinsmann Langhanz,1250
11,FMWC BR 2025 - Batalha 2,Trocando a Base,Laennder Alves,1250
12,FMWC BR 2025 - Batalha 3,Encontro Marcado,Laennder Alves,1250
13,FMWC BR 2025 - Batalha 4,Tô Vendendo Quer Comprar?,Laennder Alves,1250
14,FMWC BR 2025 - Batalha 5,Sei lá o que é SLA,Klinsmann Langhanz,1250
