GameNumber,PlayerName,Country,Score,SecondaryScore
1,Abhishek Jasuja,India,310,1.1
1,James Humpish,United Kingdom,310,1
1,Steyn Wolmarans,South Africa,310,1
1,Harry Gross,United Kingdom,325,1
1,Andrew Berg,Australia,310,1
1,Tauqeer Uddin Ahmed,Pakistan,21,1
1,Peter Li,Australia,325,1
1,Patryk Samborski,Poland,310,1
1,Gabriela Stroj,Poland,310,1.1
1,Matthew Fried,Australia,310,1
1,Tom Dang,Australia,150,1
1,Karlheinz Weyh,Germany,220,1
1,Max Twemlow,Australia,337,1
1,Victor Ogundele,Nigeria,4,1
1,Igor Yengalychev,Kazakhstan,322,1
1,Willem Gerritsen,Netherlands,334,1
1,Anup Agarwal,India,310,1
1,M Zulhari Baba,Malaysia,0,1
1,Nataly Falero,Australia,310,1
1,Venkata Godugula,United Arab Emirates,150,1
1,Bo Rydobon,Thailand,310,1
1,Khaled Habib,Egypt,352,1
1,Ahmed Zidan,Saudi Arabia,28,1
1,Pichaya Pan-anukooln,Thailand,325,1
1,Christopher Ashworth,South Africa,322,1
1,Nitish Mehta,India,36,1
1,Theodoros Kasianis,Cyprus,258,1
1,Will Wardle,United Kingdom,0,1
1,Jerry Joshua Diaz,Philippines,18,1
1,Bohdan Yakymchuk,Ukraine,340,1
1,Catherine Xu,Australia,310,1
1,Hesham Fouad,Egypt,310,1.1
1,Slobodan Djukic,Serbia,39,1
1,Dmitrijs Lukasevics,Sweden,310,1
1,Jorge Martins,Portugal,42,1
1,Rui Gomes,Portugal,0,1
1,Aleksandrs Goba,Austria,325,1
1,Vikash Bilotia,India,165,1
1,Marcel Franke,Germany,0,1
1,Pauls Silis,Austria,0,1
1,Manav Agarwal,Germany,0,1
1,Dhara Shah,India,150,1
1,Cheong Ng,Australia,337,1
1,Léo Perret,Switzerland,0,1
1,Levi Bailey,Australia,0,1
1,Tim Roberts,United Kingdom,310,1
1,Tenis Lenerts,Austria,304,1
1,John Lim,Australia,325,1
1,Ilgar Zarbaliyev,Azerbaijan,0,1
1,Darren Owen,Australia,0,1
1,Maricar Torralba,Australia,177,1
1,Maxim Sagaidak,Russia,310,1
1,Olli Hamalainen,Australia,150,1
1,Reiner Wessels,South Africa,150,1
1,Mohammed Fari,Saudi Arabia,325,1
1,Dan Mayoh,Australia,310,1
1,JP Delavin,Philippines,322,1
1,Stevenson Yu,Philippines,310,1
1,Johnson Mathias,Andrew Ngai,310,1
2,Michael Jarman,Canada,178,1
2,Tudor Banea,Canada,72,1
2,Ivan Rico,Columbia,4,1
