GameNumber,PlayerName,Country,Score,SecondaryScore
1,Bruno Merola Correa,RJ,1250,5
1,Fábio de Carvalho Gatti,SP,1080,13
1,Jardiel Euflázio Felismino,PB,1029,222
1,Eduardo Schneider Nering,PR,990,29
1,Leandro Machado,SP,950,192
1,Thomas Marcelo e Silva,GO,930,185
1,Felipe Rocha Carvalho,SP,929,55
1,Gabriel Sotero,RJ,920,374
1,Juliano Neves,SP,890,23
1,Guilherme Vezzoni,SP,880,5
1,Bruno Romero de Mendonca,SP,860,84
1,Gilberto Come,SP,820,0
1,Juan Rodrigo Harbar Penas,PR,810,0
1,Bruno Leonardo Santos Cerqueira,BA,790,0
1,Lucas Dourado,SP,770,14
1,Thiago Da Silva Romeiro,MS,748,0
1,Wellington Luíz Pereira,MG,740,119
1,Emanuel Augusto Coutinho da Silva,SP,740,55
1,Antonio Douglas Araújo dos Santos,CE,740,0
1,Augusto Thomas,RS,720,0
1,Hugo  Magalhães Martins Junior,SP,699,0
1,Caio Aimi,RS,680,37
1,Gustavo Schroeder Sapelli,SC,660,37
1,Fredson Alves Pinho,GO,630,128
1,Rafael Volner,SP,628,163
1,Milton Vitorino Ramos Junior,RJ,559,25
1,Wanderson Araujo Moura,MG,498,0
1,Dionathan Magayver Sperandio,RS,443,107
1,Rafael Amadeos Rodrigues Ireijo,SP,430,0
1,Kleiton Barbosa Marçal,ES,406,0
1,André Blume,SP,396,16
1,Thanell Junqueira Ledo,BA,380,611
1,Enzo Ronconi,SC,380,0
1,Kleber Koiti Takemoto,MS,366,0
1,Eliza Monteiro Fagundes Mota Santana,BA,344,0
1,Nicolas Montanheiro Barbosa,SP,340,0
1,Anônimo 29,SE,270,585
1,Joao Manoel Arraes de Oliveira Sousa,DF,176,311
1,Luan dos Santos Rodrigues,PB,120,265
1,Daniel Morais,SP,120,83
1,Cassio Habacuque da Silva Barros,RJ,30,42
1,Manoel Messias Batista,SP,30,0
1,Anônimo 98,SP,30,0
1,Calebe Stoffel,ES,30,0
1,Alessandra Rosa Subirá Kunz de Jesus,SP,30,0
1,Samuel Freitas,CE,0,1081
1,Gustavo Moreno,SP,0,215
1,Anônimo 121,SP,0,0
1,Vinicius Sardenberg,RJ,0,0
1,Anônimo 132,SP,0,0
2,Bruno Merola Correa,RJ,990,0
2,Washington Augusto Demicheli Junior,MG,990,0
2,Leandro Machado,SP,660,44
2,Fredson Alves Pinho,GO,570,0
2,Augusto Thomas,RS,564,1
2,Felipe Rocha Carvalho,SP,564,0
2,Thomas Marcelo e Silva,GO,500,0
2,Gilberto Come,SP,500,0
2,Bruno Romero de Mendonca,SP,492,226
2,Kleber Koiti Takemoto,MS,460,69
2,Thiago Da Silva Romeiro,MS,460,0
2,Juan Rodrigo Harbar Penas,PR,460,0
2,Daniel Gonçalves Pereira,RJ,460,0
2,Wagner Willian,SP,436,0
2,André da Silva Gonçalves,SP,430,15
2,Eduardo Schneider Nering,PR,410,1
2,Jardiel Euflázio Felismino,PB,410,0
2,Gustavo Schroeder Sapelli,SC,410,0
2,Wellington Luíz Pereira,MG,380,168
2,Rafael Volner,SP,380,102
2,Luis Antonio Duarte Junior,SP,380,1
2,Daniela Fonseca de Moraes,SP,380,0
2,Guilherme Vezzoni,SP,375,0
2,Gabriel Assunção Nunes,MG,366,12
2,Fábio de Carvalho Gatti,SP,344,0
2,Luccas Pereira,RJ,320,74
2,Juliano Neves,SP,312,38
2,Paulo Roberto Resutta Gonçalves,SP,290,0
2,Bruno dos Santos Gama,SP,282,603
2,Emanuel Augusto Coutinho da Silva,PR,280,84
2,Dionathan Magayver Sperandio,RS,270,0
2,Lucas Dourado,SP,240,2
2,André Luiz Baldo,SC,240,0
2,Débora Barbosa Mota,SP,232,0
2,Maykon Douglas Mota,MG,208,0
2,Daniel Delgado,SP,160,430
2,Wanderlei Hüttel,SC,120,25
2,Rogerio Almeida de Oliveira,SP,120,0
2,Manoel Messias Batista,SP,98,0
2,Anônimo 169,MG,0,449
2,Anônimo 159,EX,0,111
2,Agnaldo Clozer Pinheiro,SP,0,0
2,Kelly Otofuji Honda,PR,0,0
3,Julien Lacaze,EX,1250,187
3,Washington Augusto Demicheli Junior,MG,1050,1
3,Fábio de Carvalho Gatti,SP,990,0
3,Felipe Rocha Carvalho,SP,960,0
3,Diego Martins Ruvieri,SP,930,228
3,Jardiel Euflázio Felismino,PB,930,0
3,Gabriel Sotero,RJ,930,0
3,Bruno Merola Correa,RJ,920,4
3,Leandro Machado,SP,860,0
3,Vinicius dos Santos Costa,MG,810,3
3,Lucas Dourado,SP,810,1
3,Thiago Da Silva Romeiro,MS,810,0
3,Kleber Koiti Takemoto,MS,760,4
3,Juan Rodrigo Harbar Penas,PR,740,12
3,Gustavo Schroeder Sapelli,SC,730,32
3,Eduardo Schneider Nering,PR,730,0
3,Juliano Neves,SP,690,0
3,Guilherme Vezzoni,SP,673,0
3,Vitor Augusto Dib Martinho,GO,660,34
3,Augusto Thomas,RS,660,0
3,Bruno Lucas de Oliveira,SP,650,67
