GameNumber,PlayerName,Country,Score,SecondaryScore
1,Michael Clarke,New Zealand,"5,000",0.9674 
1,Stefanus Ng,Indonesia,"5,000",0.9587 
1,Matthew Fried,Australia,"4,550",0.9651 
1,Dhara Shah,India,"4,200",0.9587 
1,Ben Gutscher,China,"4,100",0.9701 
1,Toby Funston,Australia,"4,050",0.9583 
1,Jason Naniong,Japan,"3,600",0.9598 
1,Steve Schulz,Australia,"3,600",0.9583 
1,Bo Rydobon,Thailand,"3,450",0.9585 
1,JP Delavin,Philippines,"3,375",0.9593 
1,Princess Camille Ong,Philippines,"3,300",0.9627 
1,Gani Toleugazyyev,Kazakhstan,"3,300",0.9590 
1,Cheong Ng,New Zealand,"3,100",0.9583 
1,Min Chen,Australia,"2,950",0.9608 
1,Pichaya Pan-anukooln,Thailand,"2,950",0.9589 
1,Chris Wilson,United Kingdom,"2,950",0.9589 
1,Alvin Siu Hin Lui,"Hong Kong SAR, China","2,800",0.9589 
1,Vineet Sharma,India,"2,800",0.9583 
1,Peter Li,Australia,"2,700",0.9597 
1,Julien Lacaze,Réunion,"2,650",0.9589 
1,#760171,India,"2,650",0.9583 
1,John Patrick Felizco,Philippines,"2,600",0.9590 
1,Nataly Falero,Australia,"2,500",0.9583 
1,#170753,New Zealand,"2,500",0.9612 
1,#808584,Pakistan,"2,475",0.9597 
1,Mohammed Fari,Saudi Arabia,"2,450",0.9583 
1,#910076,China,"2,400",0.9592 
1,#919483,New Zealand,"2,350",0.9611 
1,#170280,Australia,"2,200",0.9583 
1,#694032,Australia,"2,200",0.9583 
1,#512367,Australia,"2,050",0.9583 
1,#786617,Saudi Arabia,"2,025",0.9583 
1,#283421,Australia,"2,000",0.9635 
1,#994510,Kazakhstan,"2,000",0.9584 
1,#100444,Kazakhstan,"1,950",0.9595 
1,#670238,"Taiwan, Republic of China","1,950",0.9584 
1,#153716,Philippines,"1,900",0.9730 
1,#778434,Australia,"1,900",0.9598 
1,#897601,Australia,"1,800",0.9588 
1,#668420,India,"1,750",0.9583 
1,#758191,Singapore,"1,500",0.9609 
1,#237536,New Zealand,"1,500",0.9583 
1,#645348,Pakistan,"1,450",0.9599 
1,#791305,Australia,"1,425",0.9583 
1,#795088,Pakistan,"1,300",0.9591 
1,#337242,"Taiwan, Republic of China","1,300",0.9585 
1,#924893,Indonesia,"1,200",0.9608 
1,#283238,India,"1,200",0.9595 
1,#377489,Australia,"1,125",0.9583 
1,#360329,Australia,"1,050",0.9584 
1,#311440,Singapore,"1,000",0.9607 
1,#969951,Australia,950,0.9583 
1,#154336,Australia,950,0.9583 
1,#219557,Australia,950,0.9583 
1,#543629,India,750,0.9693 
1,#188441,Pakistan,750,0.9591 
1,#288328,Vietnam,750,0.9584 
1,#874900,Australia,750,0.9583 
1,#256781,Australia,650,0.9590 
1,#418084,Australia,650,0.9583 
1,#269741,Pakistan,600,0.9720 
1,#468065,"Hong Kong SAR, China",600,0.9584 
1,#177561,India,375,0.9583 
1,#703096,Philippines,325,0.9996 
1,#173339,Malaysia,300,0.9791 
1,#693902,India,300,0.9583 
1,#540026,Australia,150,0.9583 
1,#341306,Australia,100,0.9583 
2,Diarmuid Early,Ireland,"4,800",0.9825 
2,Willem Gerritsen,Netherlands,"5,000",0.9744 
2,Michael Holmes,Canada,"5,000",0.9646 
2,Brian Hanley,United States of America,"5,000",0.9643 
2,Alfons Oliver Altes,Spain,"5,000",0.9636 
2,Justin Merson,Canada,"5,000",0.9619 
2,Brittany Deaton,United States of America,"5,000",0.9618 
2,Jason Webber,South Africa,"5,000",0.9618 
2,Eduardo Gonzalez Arias,Spain,"5,000",0.9614 
2,Peter Rebecchi,United Kingdom,"5,000",0.9611 
2,David Brown,United States of America,"5,000",0.9605 
2,Paul Dent,United Kingdom,"4,600",0.9646 
2,Nicolas Micot,France,"4,600",0.9635 
2,Nick McCartney,United States of America,"4,600",0.9619 
2,Lianna Gerrish,United States of America,"4,600",0.9600 
2,Bram Van Eeckhout,Belgium,"4,600",0.9596 
2,Isaac Méndez Cortiñas,Spain,"4,400",0.9605 
2,Emad Oughourli,United States of America,"4,300",0.9588 
2,Tom Vincent,United Kingdom,"4,300",0.9583 
2,Michael Thanasides,United States of America,"4,300",0.9583 
2,David Rosel,United Kingdom,"4,000",0.9683 
2,Dan Seiders,United States of America,"4,000",0.9606 
2,Albert Blom,Netherlands,"4,000",0.9601 
2,Harry Seiders,United States of America,"4,000",0.9601 
2,Taylor Robinson,United States of America,"4,000",0.9595 
2,Mary Brown,United States of America,"4,000",0.9595 
2,Patrick Chatain,Colombia,"4,000",0.9592 
2,Aleksandrs Goba,Latvia,"4,000",0.9590 
2,Ricardo Domínguez,Mexico,"4,000",0.9589 
2,Grigoriy Korkishko,Russian Federation,"4,000",0.9587 
2,Zsolt Mogyorósi,Hungary,"4,000",0.9585 
2,Joseph Michael Palisoc,United States of America,"4,000",0.9584 
2,Luke Moraga,United States of America,"4,000",0.9583 
2,Nick Lowman,United States of America,"3,975",0.9590 
2,Jaq Kennedy,United Kingdom,"3,875",0.9585 
2,Khaled Habib,Egypt,"3,800",0.9586 
2,Ben deLeon,United States of America,"3,800",0.9586 
2,Jakub Pomykalski,Poland,"3,800",0.9584 
2,Pierre Sertin,France,"3,675",0.9584 
2,Steyn Wolmarans,South Africa,"3,600",0.9659 
2,Bob Schriver,United States of America,"3,600",0.9636 
2,Christian Hueber,Austria,"3,600",0.9623 
2,Ryan Bains,United Kingdom,"3,600",0.9597 
2,Joris Greiwe,Germany,"3,600",0.9597 
2,Fanny Caillot,Germany,"3,600",0.9596 
2,Martijn Adriaanse,Netherlands,"3,600",0.9594 
2,Julie Bowden,United Kingdom,"3,600",0.9594 
2,Andrew Luchenbach,United States of America,"3,600",0.9589 
2,Joaquin Courreges,Argentina,"3,600",0.9586 
2,Neil Foot,United Kingdom,"3,600",0.9583 
2,Jakub Hluzow,Poland,"3,600",0.9583 
2,Niels Christian Lundtoft,Denmark,"3,400",0.9642 
2,Loic Coquer,France,"3,400",0.9616 
2,Bryan Ferrier,United States of America,"3,400",0.9598 
2,Adam Reichenbach,Hungary,"3,400",0.9596 
2,David Scully,United States of America,"3,400",0.9591 
2,Steve Hales,United Kingdom,"3,400",0.9589 
2,William Freestone,United Kingdom,"3,400",0.9587 
2,Kjell De Troye,Belgium,"3,400",0.9584 
2,Adam Steiner,Austria,"3,400",0.9584 
2,Greg Hingsbergen,United States of America,"3,375",0.9605 
2,Peter van Veen,Netherlands,"3,300",0.9646 
2,Ben Pridmore,United Kingdom,"3,300",0.9615 
2,Thomas Keane,Canada,"3,300",0.9588 
2,Jesi Lipp,United States of America,"3,300",0.9585 
2,Andrew Biglowe,United Kingdom,"3,300",0.9583 
2,Kenneth Wang,United States of America,"3,200",0.9706 
2,Jan Mooijer,Netherlands,"3,200",0.9592 
2,Nick Tone,United States of America,"3,200",0.9585 
2,Lyanne van Dijk,Netherlands,"3,100",0.9583 
2,Lorenzo Foti,Italy,"3,000",0.9627 
2,Mackenzie Dixon,Canada,"3,000",0.9616 
2,Graydon Moore,Canada,"3,000",0.9611 
2,Sergio Travieso,Spain,"3,000",0.9602 
2,Stephen Dunn,United Kingdom,"3,000",0.9599 
2,#359416,France,"3,000",0.9597 
2,Kiraën Andriamandimbisoa,Madagascar,"3,000",0.9595 
2,Daric Harrington,United States of America,"3,000",0.9593 
2,#215464,France,"3,000",0.9593 
2,#459611,Poland,"3,000",0.9589 
2,Jason Hutcheson,United States of America,"3,000",0.9588 
2,#598466,United Kingdom,"3,000",0.9585 
2,#673580,Germany,"3,000",0.9583 
2,Wim van Vliet,Netherlands,"3,000",0.9583 
2,Ben Rotblatt,United States of America,"3,000",0.9583 
2,#198540,Ireland,"2,975",0.9623 
2,Stephen Xiao,Canada,"2,975",0.9611 
2,#562325,Bulgaria,"2,975",0.9606 
2,Robert Valentine,United States of America,"2,975",0.9585 
2,Nathan Cunningham,United States of America,"2,975",0.9583 
2,Barbara Mauric,France,"2,900",0.9592 
2,Martin Rydder,United States of America,"2,900",0.9583 
2,Henriette Hamer,Netherlands,"2,900",0.9583 
2,Katelyn Stienen,United States of America,"2,875",0.9633 
2,Tyler Hargrave,Canada,"2,875",0.9633 
2,Shaun McCarthy,United States of America,"2,875",0.9583 
2,Josh Tiger,United States of America,"2,850",0.9583 
2,#763179,Germany,"2,800",0.9602 
2,#856592,Egypt,"2,800",0.9588 
2,#896395,United States of America,"2,800",0.9583 
2,Henri Virol,France,"2,775",0.9596 
2,#401263,Austria,"2,775",0.9594 
2,#247477,Switzerland,"2,775",0.9588 
2,Jason Sindler,United States of America,"2,775",0.9584 
2,#495904,Madagascar,"2,775",0.9583 
2,#767877,United Kingdom,"2,775",0.9583 
2,Mads Rasztar,Denmark,"2,700",0.9628 
2,#578116,Georgia,"2,700",0.9604 
2,#771672,United Kingdom,"2,700",0.9596 
2,Leonards Budņiks,Latvia,"2,700",0.9592 
2,#344649,Russian Federation,"2,700",0.9591 
